,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
132,1263893,0.4159,0.0001,8.86376,0.051839296,0.43642426,0.046306875,8.942921,0.015457309,-1.5142593,0.16822122
133,1263930,0.4358,0.0001,9.321261,0.08804118,0.82975006,0.07322033,10.0812235,0.016108882,0.5081253,0.017946698
134,1263936,0.4952,0.0001,8.87067,0.105408564,0.63197327,0.08039534,10.094325,0.015305029,0.5286522,0.019066246
135,1263989,0.3384,0.0001,10.40029,0.06811231,1.8949547,0.033187807,10.60494,0.07071889,1.7632217,0.015875442
136,1264039,0.4246,0.0001,8.537135,0.033348605,0.26024246,0.0565034,9.165413,0.018409586,0.36405182,0.013551013
137,1264068,0.3305,0.0001,9.376756,0.043015767,0.5560379,0.043125693,10.1075,0.015865285,0.5521965,0.015833087
138,1264106,0.4273,0.0001,10.002062,0.090617545,1.7173233,0.044040613,10.280634,0.026744235,1.6243896,0.018528052
139,1264434,0.3107,0.0001,10.739043,0.09816842,1.8731155,0.07379353,10.951583,0.05549942,1.4257202,0.016349943
140,1264499,0.4484,0.0001,10.233489,0.020873684,1.7941551,0.077396534,10.5593815,0.01995916,1.5958557,0.016294232
141,1264512,0.3603,0.0001,6.536557,0.16200466,-1.292057,0.49253398,8.974722,0.028363356,0.5300598,0.04216902
142,1264631,0.5529999999999999,0.0001,8.326374,0.055672385,0.120204926,0.10308131,8.807959,0.03017451,0.29458237,0.038047485
143,1264948,0.5039,0.0001,9.953312,0.10838134,1.5518951,0.077431336,10.275252,0.036207806,1.5351715,0.02442505
144,1265089,0.4447,0.0001,9.00534,0.06970859,1.1614761,0.06766149,10.924503,0.015582627,1.0650368,0.015744396
145,1265426,0.4203,0.0001,8.565612,0.054742824,0.39279556,0.044699647,9.395012,0.018065518,0.39279175,0.013205723
146,1265832,0.3988,0.0001,9.875819,0.04875127,1.3821449,0.048840202,10.789926,0.06715964,1.4930458,0.013960742
147,1266830,0.57,0.0001,10.571752,0.12273853,1.6248932,0.08633212,10.831822,0.0223569,1.412983,0.023056298
148,1273127,0.1894,0.0001,10.195215,0.06409624,1.5916214,0.06013003,10.476522,0.011818948,1.4662056,0.020026056
149,1275873,0.4019,0.0001,10.411655,0.104357615,1.6767311,0.058794077,10.874543,0.059261534,1.5135193,0.014115283
